lang,mentions,share
english,109585,0.5997460581548717
spanish,32276,0.1766428231327886
german,10281,0.05626672650353822
french,7372,0.04034610522167919
italian,5628,0.03080139449099437
indonesian,3137,0.017168438969127457
portuguese,2814,0.015400697245497185
romanian,2190,0.011985617259288853
turkish,1361,0.007448595931457593
chinese,1320,0.0072242076631330076
vietnamese,1219,0.0066714463192114664
russian,684,0.0037434530618052856
catalan,490,0.002681713450708465
hindi,406,0.002221991144872728
finnish,354,0.001937401146022034
albanian,318,0.001740377300663861
polish,296,0.0016199738396116441
dutch,248,0.0013572753791340803
swedish,235,0.0012861278794214065
azerbaijani,200,0.0010945769186565162
croatian,193,0.0010562667265035383
greek,186,0.00101795653435056
danish,164,0.0008975530732983434
serbian,162,0.0008866073041117782
bulgarian,149,0.0008154598043991047
norwegian,147,0.0008045140352125395
lithuanian,143,0.0007826224968394091
galician,143,0.0007826224968394091
hungarian,126,0.0006895834587536052
czech,98,0.000536342690141693
latvian,84,0.00045972230583573686
malay,84,0.00045972230583573686
marathi,79,0.00043235788286932395
ukrainian,72,0.00039404769071634584
macedonian,69,0.0003776290369364981
bosnian,68,0.0003721561523432155
slovak,50,0.00027364422966412905
slovenian,42,0.00022986115291786843
telugu,37,0.00020249672995145552
japanese,36,0.00019702384535817292
thai,33,0.0001806051915783252
malayalam,19,0.00010398480727236904
gujarati,18,9.851192267908646e-05
bengali,18,9.851192267908646e-05
punjabi,18,9.851192267908646e-05
swahili,15,8.209326889923872e-05
tamil,15,8.209326889923872e-05
arabic,8,4.378307674626065e-05
icelandic,7,3.831019215297807e-05
estonian,6,3.283730755969549e-05
korean,4,2.1891538373130325e-05
somali,3,1.6418653779847745e-05
afrikaans,2,1.0945769186565163e-05
armenian,2,1.0945769186565163e-05
kannada,2,1.0945769186565163e-05
georgian,1,5.472884593282581e-06
urdu,1,5.472884593282581e-06
kazakh,1,5.472884593282581e-06
