lang,mentions,sdg17_share,sdg10_share,entropy,effective_sdgs
english,109585,0.45966145001596925,0.011269790573527406,2.0334696423749854,7.640550399286613
spanish,32276,0.7054777543685706,0.008799107696120984,1.2790819224072776,3.593339246507899
german,10281,0.9544791362707894,0.007295010213014383,0.28151503136962946,1.3251359147795647
french,7372,0.9020618556701011,0.006646771568095617,0.5439212747475349,1.7227490068217404
italian,5628,0.8802416488983628,1.7768301350390847e-16,0.6206597839371192,1.8601549374070974
indonesian,3137,0.9276378705769797,3.187759005419173e-16,0.4052563173994732,1.4996868466298579
portuguese,2814,0.7469793887704294,0.04868514570007114,1.0856795892867592,2.96145170588616
romanian,2190,0.9246575342465686,0.0004566210045666632,0.43059216263122013,1.5381680995862317
turkish,1361,0.9698750918442207,7.3475385745774245e-16,0.1854244201898203,1.2037292187111541
chinese,1320,0.3553030303030265,0.003030303030303749,2.120309660832517,8.33371771413486
