sdg,mentions,share
SDG17_Partnerships,108281,0.5926094166452313
SDG3_Good_Health,18188,0.0995408249826236
SDG7_Clean_Energy,6516,0.0356613160098293
SDG13_Climate_Action,6336,0.03467619678303844
SDG4_Quality_Education,5835,0.031934281601803866
SDG1_No_Poverty,4696,0.025700666050055002
SDG8_Decent_Work,4557,0.024939935091588723
SDG9_Industry_Innovation,4378,0.023960288749391143
SDG6_Clean_Water,4281,0.02342941894384273
SDG5_Gender_Equality,4052,0.02217612837198102
SDG15_Life_On_Land,3984,0.021803972219637806
SDG11_Sustainable_Cities,3632,0.019877516842802336
SDG16_Peace_Justice,2002,0.010956714955751729
SDG14_Life_Below_Water,1984,0.010858203033072642
SDG10_Reduced_Inequalities,1835,0.010042743228673537
SDG12_Responsible_Consumption,1175,0.006430639397107033
SDG2_Zero_Hunger,987,0.005401737093569908
